state,key,svn,english,translation
NEW,settings_accentinsensitivesearch,2803,Accent Insensitive Search,アクセント無視の検索
NEW,settings_accentinsensitivesearch_description,2803,"When searching in lists, ignore accented characters, e.g. ""é"" will match ""e""",リスト内を検索する際、アクセント記号を無視します。例えば、「é」は「e」と一致します。
NEW,settings_translatorassist,2803,"Translator Assist (Ctrl, Alt)","翻訳アシスト（Ctrl, Alt）"
NEW,settings_translatorassist_description,2803,"Enable features to help translators, such as Alt to reveal English and Ctrl to reveal the phrase key.",翻訳者向け機能（英語表示のためのAltキー、フレーズキー表示のためのCtrlキーなど）を有効にします。
CURRENT,settings_sound,2793,SOUND,サウンド
CURRENT,settings_appearance,2793,APPEARANCE,外観
CURRENT,settings_keybindings,2793,KEYBOARD,キーボード
CURRENT,settings_other,2793,OTHER,その他
CURRENT,settings_uibounce,2793,UI Highlight Bounce,UIハイライトバウンド
CURRENT,keybinding_title_action,2793,Action,アクション
CURRENT,keybinding_title_key,2793,Key,キー
CURRENT,keybinding_press_a_key,2793,PRESS A KEY,キーを押してください
CURRENT,keybinding_revert,2793,RESET,リセット
CURRENT,keybinding_panleft1,2793,Pan Left (1),左パン (1)
CURRENT,keybinding_panleft2,2793,Pan Left (2),左パン (2)
CURRENT,keybinding_panright1,2793,Pan Right (1),右パン (1)
CURRENT,keybinding_panright2,2793,Pan Right (2),右パン (2)
CURRENT,keybinding_pandown1,2793,Pan Down (1),下パン (1)
CURRENT,keybinding_pandown2,2793,Pan Down (2),下パン (2)
CURRENT,keybinding_panup1,2793,Pan Up (1),上パン (1)
CURRENT,keybinding_panup2,2793,Pan Up (2),上パン (2)
CURRENT,keybinding_zoomin,2793,Zoom In,ズームイン
CURRENT,keybinding_zoomout,2793,Zoom Out,ズームアウト
CURRENT,keybinding_ManoeuvreLeft,2793,Thrust Left,左推進
CURRENT,keybinding_ManoeuvreRight,2793,Thrust Right,右推進
CURRENT,keybinding_ManoeuvreUp,2793,Thrust Up,上推進
CURRENT,keybinding_ManoeuvreDown,2793,Thrust Down,下推進
CURRENT,keybinding_ManoeuvreClockwise,2793,Thrust Clockwise,時計回り推進
CURRENT,keybinding_ManoeuvreCounterClockwise,2793,Thrust C-Clockwise,反時計回り推進
CURRENT,keybinding_toggletactical,2793,Toggle Tactical,タクティカルを切り替え
CURRENT,keybinding_togglemap,2793,Toggle Map,マップを切り替え
CURRENT,keybinding_increasethrust,2793,Engines +,エンジン+
CURRENT,keybinding_decreasethrust,2793,Engines -,エンジン-
CURRENT,keybinding_hudscaleup,2793,Increase HUD Scale,HUDスケールを増加
CURRENT,keybinding_hudscaledown,2793,Decrease HUD Scale,HUDスケールを減少
CURRENT,keybinding_recentrehome,2793,Recentre Ship,船を中央に戻す
CURRENT,keybinding_togglepause,2793,Pause,ポーズ
CURRENT,keybinding_gamespeed1,2793,Normal Speed,通常速度
CURRENT,keybinding_gamespeed2,2793,2x Speed,2倍速
